SampleID	Methylobacterium	Pseudomonas-4	Pseudomonas-3	Unclassified Microbacteriaceae	Paenibacillus	Pseudomonas-2	Unclassified Enterobacteriaceae	Sphingomonas	Pseudomonas-1	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium-2	Pantoea	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium-1	Pseudomonas-5
HB43-P1-F09											80		
HB43-P2-G09						1					68		
HB43-P3-H09						4					63		
HB44-B1-C06						2					95		
HB44-B2-D06										2	73		
HB44-B3-E06								2			78		
HB44-P1-A10											138		
HB44-P2-B10						2					129		
HB44-P4-F10											40		
HB45-B1-F06											100		
HB45-B2-G06											110		
HB45-B3-H06											119		
HB45-P0-C10											116		
HB45-P1-D10						1		1			112		
HB45-P2-E10						2					85		
MS1-H1-G10											81		
MS1-R1-F12											111		
MS10-R1-D12													
MS2-H1-H10						2					95		
MS2-R1-G12						1					119		
MS3-H1-A11											136		
MS3-R1-H12						2		2			103		
MS4-H1-B11											116		
MS4-R1-F11						2					130		
MS5-H1-C11						2					128		
MS5-R1-G11								1			167		
MS6-H2-E11											102		
MS6-R1-H11											136		
MS7-H1-F11									1		102	1	
MS7-R1-A12											116		
MS8-H1-G11						2					107		
MS8-R1-B12											108		
MS9-H1-H11			1								103		
MS9-H10-A12				77				2		3	73		
MS9-R1-C12											87		
OB1-B1-A01						2					135		
OB1-B2-B01						1					124		
OB1-B3-C01											108		
OB1-P1-C04							1				114		
OB1-P2-D04						1					101		
OB1-P3-E04											108		
OB10-B1-H03											73		
OB10-B2-A04						2		1			119		
OB10-B3-B04											117		
OB10-P1-F07						6				1	66		
OB10-P2-G07											66		
OB10-P3-H07											51		
OB2-B1-D01						3					128		
OB2-B2-E01						1					112		
OB2-B3-F01											128		
OB2-P1-F04						1		2			86		
OB2-P2-G04						1					72		
OB2-P3-H04						1					101		
OB3-B1-G01			2								126		
OB3-B2-H01											101		
OB3-B3-A02						2					122		
OB3-P1-A05											130		
OB3-P2-B05						1				1	100		
OB3-P3-C05											112		
OB4-B1-B02											118		
OB4-B2-C02											121		
OB4-B3-D02						1					104		
OB4-P1-D05				2		3				1	109		
OB4-P2-E05						1					94		
OB4-P3-F05						1					53		
OB5-B1-E02						3	1				135		
OB5-B2-F02						1					103		
OB5-P1-G05						7					56		
OB5-P2-H05						2					44		
OB5-P3-A06											125		
OB6-B1-G02						2					100		
OB6-B2-H02											89		
OB6-P1-B06								1		1	107		
OB6-P2-C06						4					97		
OB6-P3-D06						3		1			103		
OB7-B1-A03						2					143		
OB7-B2-B03											123		
OB7-B3-C03											126		
OB7-P1-E06											83		
OB7-P2-F06			4			1		2			97		
OB7-P3-G06											58		
OB8-B1-D03						1					154		
OB8-B2-E03											110		
OB8-P2-A07						1					148		
OB8-P3-B07						1					98		
OB9-B1-F03						2	1				91	1	
OB9-B2-G03								4		1	72		
OB9-P1-C07						1					102		
OB9-P2-D07											94		
OB9-P3-E07	1		1								73	5	
SRR8791087	19										3	270	
SRR8791088													
SRR8791089													
SRR8791090	22											155	
SRR8791091	51											158	
SRR8791102	119						3					170	
SRR8791103													
SRR8791104	24												
SRR8791105	131						1					227	
SRR8791108													
SRR8791111	57												
SRR8791112	5						3						
SRR8791115													8
SRR8791116	32										1	233	
SRR8791124													6
SRR8791125													10
SRR8791128													5
SRR8791133	7												
SRR8791137													
A01					28	158	61		135		426	9	8
A02		4			3		63		35		794		7
A03					22	23	90		54		575	4	99
A04		25			33	159	32	5	55		368	9	26
A05		46			22	26	330		37		405	9	26
A06		10			40	23	59		121		593		69
A07		36			8	15	30		69		629	12	9
A08		256			3	29	39		39		430	16	16
A09		11		3	16	48	111	1	263		434	10	
A10				2	22		11		471		278	6	99
A11		16			9	10	28		26		419	4	16
A12				1		35	55	3	73		559	20	2
A12-S17		13			22	63	97		6		337	4	363
A13		3		1	18	395	38	4	18		181	44	5
A13-S29		4			2	10	25	1	35		773		
A14		4		1	13	3	98	4	40	3	405	19	2
A14-S41		271			15		61	3	8		511	10	1
